year,mon,day,hour,TEM,PRS,RHU,PRE_1h,WIN_S_Avg_2mi,WIN_D_Avg_2mi,diffuse,direct
2026,5,1,8,18.1,1005.6,57,0,1.3,37,206.8743984,161.1626016
2026,5,1,9,20.3,1005.9,49,0,1.2,36,195.694947,379.760053
2026,5,1,10,22.6,1006,39,0,1.1,30,225.8662383,465.9337617
2026,5,1,11,24.9,1005.7,36,0,0.9,26,176.1081011,674.0338989
2026,5,1,12,25.6,1005.2,31,0,0.4,90,210.7064816,637.7465184
2026,5,1,13,26.1,1004.7,26,0,0.6,137,315.5483446,401.7516554
2026,5,1,14,27.2,1003.8,26,0,1.5,163,369.7607372,171.5762628
2026,5,1,15,26.4,1003.2,27,0,1.3,161,320.5082326,55.59976738
2026,5,1,16,25.7,1002.7,30,0,1.3,161,225.6079222,15.28707778
2026,5,1,17,24.6,1002.4,35,0,1.1,161,165.6989102,16.6860898
2026,5,1,18,23.6,1002.8,37,0,1,161,46.88484791,0.753152092
2026,5,1,19,22,1003.1,41,0,0.9,165,1.192109179,0.010890821
2026,5,1,20,20.2,1003.7,44,0,0.7,168,0,0
2026,5,1,21,19.4,1003.7,46,0,0.4,127,0,0
2026,5,1,22,17.8,1004.1,50,0,0.4,74,0,0
2026,5,1,23,16.7,1004.1,51,0,0.7,57,0,0
2026,5,2,0,16.4,1003.8,51,0,0.6,47,0,0
2026,5,2,1,15.2,1003.7,51,0,0.5,31,0,0
2026,5,2,2,15.4,1003.3,51,0,0.5,13,0,0
2026,5,2,3,14.2,1002.9,59,0,0.4,19,0,0
2026,5,2,4,13.4,1002.8,66,0,0.3,30,0,0
2026,5,2,5,12.1,1002.6,75,0,0.3,45,0,0
2026,5,2,6,13.2,1002.7,67,0,0.3,47,19.85610745,0.206892549
2026,5,2,7,15.3,1002.7,62,0,0.3,43,146.9790235,31.54997648
2026,5,2,8,17.1,1002.8,53,0,0.4,43,203.4656316,14.81636842
2026,5,2,9,19.2,1002.3,46,0,1,354,304.4268332,81.39116681
2026,5,2,10,20.8,1002.1,41,0,1.5,354,310.5968906,288.7841094
2026,5,2,11,21.8,1002.1,37,0,2.6,338,301.8036614,410.1223386
2026,5,2,12,20.5,1002.1,40,0,2.8,0,393.3570198,236.0049802
2026,5,2,13,19.9,1002.3,45,0,3.8,9,401.3653457,73.20465435
2026,5,2,14,16.7,1003,50,0,5.9,14,377.7626131,91.85738685
2026,5,2,15,15.4,1002.9,62,0,3.7,22,254.9658379,9.6691621
2026,5,2,16,14.4,1003.2,71,0.1,2.9,26,155.5068558,2.954144231
2026,5,2,17,13.3,1003.2,80,0.2,2,37,117.7074929,2.527507062
2026,5,2,18,13.1,1003.7,72,0,2.2,33,47.50117061,0.762829385
2026,5,2,19,13.9,1004.2,66,0,2.1,33,0.570172281,0.001827719
2026,5,2,20,14.3,1004.5,55,0,2.1,33,0,0
2026,5,2,21,12.6,1005.2,63,0,1.5,29,0,0
2026,5,2,22,10.6,1005.5,70,0,0.8,34,0,0
2026,5,2,23,10.2,1006,76,0,0,0,0,0
2026,5,3,0,9.3,1005.7,82,0,0,25,0,0
2026,5,3,1,8.4,1005.3,86,0,0,326,0,0
2026,5,3,2,7.8,1004.7,92,0,0,0,0,0
2026,5,3,3,7.8,1004.5,90,0,0,259,0,0
2026,5,3,4,7.4,1004.4,91,0,0,255,0,0
2026,5,3,5,6.9,1004.4,95,0,0,0,0,0
2026,5,3,6,9.4,1004.6,88,0,0.2,14,56.08062753,5.298372468
2026,5,3,7,11.6,1005,84,0,0.7,8,120.0202402,138.2147598
2026,5,3,8,12.4,1005.1,73,0,1,14,172.4071105,246.0398895
2026,5,3,9,13,1005.2,68,0,1.2,31,168.1573139,442.3406861
2026,5,3,10,13.7,1005.2,64,0,1.4,39,162.3475709,607.8744291
2026,5,3,11,15.1,1005.4,58,0,1.6,51,285.6066238,7.746376161
2026,5,3,12,16.9,1004.8,42,0.1,2.3,34,320.9408482,413.4311518
2026,5,3,13,19.5,1004.3,31,0.1,3,28,156.9160509,796.3129491
2026,5,3,14,20.8,1004.4,22,0.1,3.6,26,147.9473355,699.8106645
2026,5,3,15,20.9,1004.2,19,0,3.5,25,145.7248565,555.1531435
2026,5,3,16,21.4,1004.1,17,0,2.9,29,110.2976753,455.9733247
2026,5,3,17,21.4,1004,17,0,2.7,34,79.97989068,308.0491093
2026,5,3,18,19.9,1004.7,18,0,1.9,36,76.35417345,87.31782655
2026,5,3,19,17.4,1005.3,22,0,1.3,29,2.408629607,0.026370393
2026,5,3,20,15.3,1006.1,28,0,0.3,45,0,0
2026,5,3,21,12.8,1006.6,34,0,0.1,356,0,0
2026,5,3,22,10.7,1007.7,44,0,0.2,242,0,0
2026,5,3,23,9.2,1008.1,57,0,0.3,238,0,0
2026,5,4,0,8.4,1007.9,58,0,0.2,241,0,0
2026,5,4,1,7.9,1008,59,0,0.1,200,0,0
2026,5,4,2,8.1,1007.8,64,0,0,0,0,0
2026,5,4,3,7.5,1008,69,0,0.1,199,0,0
2026,5,4,4,7.1,1008.1,72,0,0,226,0,0
2026,5,4,5,6.5,1007.9,71,0,0,0,0,0
2026,5,4,6,9.3,1008.2,60,0,0.1,357,55.54984452,4.14415548
2026,5,4,7,10.8,1008.5,51,0,0.7,336,118.1975939,146.0134061
2026,5,4,8,12.8,1008.9,41,0,0.9,341,120.0834778,357.4645222
2026,5,4,9,16.1,1008.1,37,0,1.6,234,151.961835,479.919165
2026,5,4,10,19.5,1007.9,35,0,2.6,237,138.9446783,687.0073217
2026,5,4,11,22.2,1007.5,33,0,3.2,232,159.60186,807.68214
2026,5,4,12,23.4,1006.6,28,0,3.5,230,159.242334,788.899666
2026,5,4,13,24.4,1005.2,26,0,4.2,223,157.8746522,765.6383478
2026,5,4,14,25,1004.3,24,0,4.8,228,154.4348904,679.2221096
2026,5,4,15,25.2,1003.5,27,0,4.4,220,175.1497775,491.0092225
2026,5,4,16,25,1002.7,28,0,4.1,219,158.6835348,350.8664652
2026,5,4,17,24.9,1002,29,0,3.2,225,129.21914,206.07086
2026,5,4,18,23.7,1002,33,0,3.4,220,96.15823033,29.61176967
2026,5,4,19,22.3,1002,37,0,3.5,215,2.511231359,0.023768641
2026,5,4,20,21.5,1002.1,42,0,3.4,212,0,0
2026,5,4,21,20.7,1001.9,45,0,3,214,0,0
2026,5,4,22,19.8,1001.9,46,0,2.6,213,0,0
2026,5,4,23,19.2,1002.1,54,0,1.8,220,0,0
2026,5,5,0,17.4,1001.6,60,0,0.9,223,0,0
2026,5,5,1,15.6,1001.3,74,0,0.6,225,0,0
2026,5,5,2,14,1001.2,78,0,0.1,45,0,0
2026,5,5,3,13.7,1001,79,0,0.1,52,0,0
2026,5,5,4,13.1,1000.9,79,0,0.1,55,0,0
2026,5,5,5,12.3,1000.7,83,0,0.1,45,0,0
2026,5,5,6,13.4,1001.1,77,0,0.5,16,42.73503927,0.947960725
2026,5,5,7,14.5,1001.3,73,0,0.7,21,152.4792335,43.05376655
2026,5,5,8,17,1001.7,66,0,1.1,19,198.0548684,197.0811316
2026,5,5,9,19.2,1001.2,59,0,0.3,107,204.7716428,372.7873572
2026,5,5,10,21.1,1000.7,56,0,0.5,166,197.4158677,534.7541323
2026,5,5,11,23.1,1000.1,47,0,1.3,174,285.8716809,449.9133191
2026,5,5,12,25.2,998.6,45,0,1.6,180,198.2912456,673.7347544
2026,5,5,13,26.3,997.8,41,0,1.9,188,165.0108723,739.5211277
2026,5,5,14,27.7,996.9,40,0,2,188,169.9739639,639.3590361
2026,5,5,15,27.5,995.8,39,0,3.5,212,224.210331,392.083669
2026,5,5,16,27.5,995.4,39,0,4.4,217,202.9534072,261.9755928
2026,5,5,17,27.6,994.5,40,0,5.3,217,174.0726919,104.4723081
2026,5,5,18,27.3,995.1,36,0,4.3,212,71.52337217,2.156627827
2026,5,5,19,26.8,995.2,34,0,4,209,2.866477788,0.026522212
2026,5,5,20,26.9,995.1,31,0,3.9,204,0,0
2026,5,5,21,25.6,995.8,36,0,3.8,207,0,0
2026,5,5,22,25,996.2,40,0,3.7,208,0,0
2026,5,5,23,23.8,996.4,46,0,3.7,208,0,0
2026,5,6,0,22.6,996.4,52,0,2.8,207,0,0
2026,5,6,1,21.4,996.4,56,0,1.9,205,0,0
2026,5,6,2,20.4,996.3,60,0,0.8,205,0,0
2026,5,6,3,19.5,996.5,65,0,0.4,218,0,0
2026,5,6,4,18.2,996.8,72,0,0.2,240,0,0
2026,5,6,5,17.1,996.8,75,0,0,0,0,0
2026,5,6,6,18.1,998.1,68,0,0.1,46,5.651100207,0.014899793
2026,5,6,7,19.4,999.2,63,0,0.5,13,146.6802753,19.38972472
2026,5,6,8,20.8,999.4,58,0,0.7,12,94.43720869,1.185791307
2026,5,6,9,21.6,1000.2,58,0,0.8,10,303.41566,134.97734
2026,5,6,10,21.8,1000.7,64,0,0.9,8,329.5369842,28.25901585
2026,5,6,11,22.1,1001.7,68,0,0.8,10,381.5624324,47.18856756
2026,5,6,12,23.6,1001.6,61,0,1,28,401.2891283,221.5898717
2026,5,6,13,24.8,1001.5,54,0,1.2,46,398.8563356,61.89566445
2026,5,6,14,25.5,1001.5,45,0,1.3,62,360.5704763,43.86452368
2026,5,6,15,25,1001.6,42,0,0.6,108,263.6630886,11.15691136
2026,5,6,16,24.7,1001.8,41,0,0.6,178,210.7862267,9.015773278
2026,5,6,17,23.8,1002,40,0,1.3,209,152.1253699,7.609630091
2026,5,6,18,22.1,1003.1,46,0,0.8,229,44.57862384,0.636376157
2026,5,6,19,21.1,1004.2,53,0,0.6,249,3.277638943,0.030361057
2026,5,6,20,19.6,1005.2,60,0,0.6,275,0,0
2026,5,6,21,19.7,1006.8,45,0,1.1,2,0,0
2026,5,6,22,19.8,1007.9,32,0,1.6,18,0,0
2026,5,6,23,19.8,1009,21,0,2.5,27,0,0
2026,5,7,0,19.6,1009.5,21,0,2.5,23,0,0
2026,5,7,1,17.8,1010.6,23,0,2.8,18,0,0
2026,5,7,2,16.9,1010.9,23,0,2.9,14,0,0
2026,5,7,3,16,1011.7,25,0,2.8,11,0,0
2026,5,7,4,15.3,1012.2,27,0,2.9,10,0,0
2026,5,7,5,14.6,1012.4,28,0,3.4,6,0,0
2026,5,7,6,14.7,1013,28,0,2.8,7,67.26058954,15.15341046
2026,5,7,7,15.7,1013.4,28,0,2.7,7,109.6485045,174.6624955
2026,5,7,8,16.3,1014.5,29,0,2.4,7,96.4224863,425.1805137
2026,5,7,9,17.5,1014,24,0,2.5,350,122.55672,620.21128
2026,5,7,10,19.3,1013.9,23,0,3,327,139.5873825,707.4786175
2026,5,7,11,20.9,1014.1,20,0,3.1,320,166.789425,844.055575
2026,5,7,12,21.5,1013.1,16,0,2.7,326,163.110915,825.440085
2026,5,7,13,23.8,1012.2,14,0,2,354,164.07699,830.32901
2026,5,7,14,24.3,1011.7,13,0,1.8,16,145.4036241,730.5993759
2026,5,7,15,24.4,1011.3,13,0,1.4,4,158.990801,532.638199
