Timestamp,OUTDOOR,2FCORRIDOR,3FCORRIDOR,4FCORRIDOR,2F215,3F308,3F309,3F310,4F408,4F409,4F410,4F412,5F510
2026/5/9 0:00,19.9,22.4,23.3,24.392,25.8,25.7,26.6,26.3,25.7,26.3,26.009,24.5,25.35
2026/5/9 1:00,19.1,22.28166667,23.1,24.058,25.8,25.5,26.47733333,26.2,25.426,26.37833333,25.95,24.2,25.20783334
2026/5/9 2:00,17.9,22.132,22.93866667,23.85883334,25.8,25.5,26.47866667,26.2,25.074,26.4,25.687,24,25.08533334
2026/5/9 3:00,15.5,22,22.7,23.55,25.8,25.36666667,26.3,26.1,24.92666667,26.4,25.5,23.8,24.96466667
2026/5/9 4:00,13.7,21.7,22.5,23.37983334,25.7,25.4,26.38,26.1,24.87683334,26.3,25.2925,23.8,24.9
2026/5/9 5:00,13.1,21.5,22.6,23.52016667,25.7,25.26833333,26.28,26,24.7,26.3,25.25,23.8,24.8
2026/5/9 6:00,14.2,21.38766667,22.6,23.55,25.7,25.3,26.3,26,24.51233334,26.3,25.2,23.8,24.86
2026/5/9 7:00,15.4,21.51233333,22.4,23.75,25.7,25.2,26.2,25.9,24.7785,26.4,25.1,23.9,24.94
2026/5/9 8:00,16.7,21.61033333,22.44233333,23.7,25.8,25.3,26.28233333,26,24.93916667,26.5,25.09435216,23.9,25.05
2026/5/9 9:00,17.6,21.61,22.35766667,23.65,25.72233333,25.2,26.18233333,26,24.9205,26.427,25.105,23.824,24.9375
2026/5/9 10:00,17.9,21.8,22.6,23.75,25.8,25.37233333,25.6,25.931,25.62375,26.1,24.902,23.9,24.88866667
2026/5/9 11:00,19.5,22.1,22.8,23.8,26.1,25.52766667,25.48366667,25.831,26.33483334,26.27166667,24.9,24.1,25.15
2026/5/9 12:00,20.2,22.1,22.945,23.75,26,25.7,25.515,25.53233333,25.70366667,26.1,24.79883334,24.1,25.062
2026/5/9 13:00,20.5,22.1,22.9,23.66283334,26.126,25.8,25.9,25.9,25.65600219,26.07033333,24.84983334,24.08616667,25
2026/5/9 14:00,20.8,22.895,23,23.85,26.1,25.8,25.78633333,25.6,27.1245,26.2,24.80008278,23.8,25.0895
2026/5/9 15:00,20.8,22.6,23.154,24.06683334,26.2,25.8,25.71366667,26.36633333,26.61520834,26.4,25.09783334,24,25.45
2026/5/9 16:00,20.7,22.6,23.34766667,24.15,26.3,25.67666667,25.78766667,26.6,26.19566667,26.5,25.15216667,24.1,25.65
2026/5/9 17:00,20.1,22.99633333,23.1,24,26.2,25.52333333,25.5,26.5,25.683,26.1,25.05166667,23.6,25.36333334
2026/5/9 18:00,19.4,22.6,23.24866667,24.1,26.2,25.6,26.1,26,25.37223452,26.5,25.1,23.6,25.75
2026/5/9 19:00,17.9,22.70066667,23.1,24.05,26.2,25.7,26.2,26.1,25.23383334,26.4,25.09966667,23.6,25.8
2026/5/9 20:00,16.1,22.60008333,23,23.98516667,26.2,25.9,26.2,26.238,24.8315,26.3,24.9525,23.5,25.6915
